,Price_EUR_MWh,Forecast_Load_MW,Forecast_Solar_MW,Forecast_Wind_MW,Forecast_Residual_Load_MW,Is_Negative,Year,Hour,DayOfWeek,Month,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos
2025-10-01 03:00:00+02:00,33.4,38300.0,0.0,2677.0,35623.0,False,2025,3,2,10,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2025-10-01 04:00:00+02:00,43.45,37000.0,0.0,2391.11,34608.89,False,2025,4,2,10,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2025-10-01 05:00:00+02:00,22.25,37700.0,0.0,2205.16,35494.84,False,2025,5,2,10,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2025-10-01 06:00:00+02:00,37.82,41000.0,0.0,2109.4,38890.6,False,2025,6,2,10,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2025-10-01 07:00:00+02:00,86.3,46300.0,0.0,2092.66,44207.34,False,2025,7,2,10,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2025-10-01 08:00:00+02:00,140.78,49800.0,3.11,2105.03,47691.86,False,2025,8,2,10,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2025-10-01 09:00:00+02:00,125.5,50200.0,1205.06,2083.63,46911.310000000005,False,2025,9,2,10,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2025-10-01 10:00:00+02:00,100.24,50700.0,4936.07,1924.0,43839.93,False,2025,10,2,10,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2025-10-01 11:00:00+02:00,59.07,50300.0,9537.53,1580.77,39181.700000000004,False,2025,11,2,10,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2025-10-01 12:00:00+02:00,26.76,51300.0,13074.88,1428.19,36796.93,False,2025,12,2,10,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
